invoice_id,date,service_type,amount,job_description,customer_type,project_type,location_zip,location_id
INV-0127,2025-01-02,HVAC Installation,9513.38,Install rooftop HVAC unit,residential,installation,95131,LOC-1
INV-0080,2025-01-03,HVAC Installation,17356.78,Install new split HVAC system,commercial,installation,94544,LOC-2
INV-0003,2025-01-14,HVAC Installation,15322.3,Replace residential HVAC system,residential,installation,95131,LOC-1
INV-0101,2025-01-14,System Inspection,281.07,Commercial HVAC safety and performance inspection,commercial,service,95131,LOC-1
INV-0058,2025-01-21,HVAC Installation,13422.8,Install new split HVAC system,commercial,installation,95131,LOC-1
INV-0054,2025-01-27,AC Repair,964.8,Replace AC compressor and test system,residential,repair,95131,LOC-1
INV-0122,2025-01-28,HVAC Installation,16997.52,Install rooftop HVAC unit,residential,installation,94544,LOC-2
INV-0013,2025-01-29,Heating System Repair,2791.41,Replace heating system blower motor,residential,repair,95131,LOC-1
INV-0070,2025-02-05,Heating System Repair,1546.98,Replace heating system blower motor,commercial,repair,94544,LOC-2
INV-0048,2025-02-07,AC Repair,2354.49,Repair refrigerant leak and recharge system,residential,repair,95131,LOC-1
INV-0037,2025-02-08,HVAC Installation,14745.48,Replace residential HVAC system,residential,installation,94544,LOC-2
INV-0102,2025-02-08,AC Repair,1915.78,Diagnose and repair air conditioning unit,residential,repair,94544,LOC-2
INV-0009,2025-02-10,HVAC Installation,12406.74,Install rooftop HVAC unit,commercial,installation,94544,LOC-2
INV-0094,2025-02-12,AC Repair,1809.15,Replace AC compressor and test system,commercial,repair,95131,LOC-1
INV-0002,2025-02-14,Heating System Repair,2919.67,Repair furnace ignition system,residential,repair,95131,LOC-1
INV-0108,2025-02-14,HVAC Installation,19998.13,Install rooftop HVAC unit,residential,installation,95131,LOC-1
INV-0072,2025-03-07,AC Repair,1056.09,Replace AC compressor and test system,residential,repair,95131,LOC-1
INV-0093,2025-03-07,HVAC Installation,14809.77,Install rooftop HVAC unit,commercial,installation,95131,LOC-1
INV-0055,2025-03-08,HVAC Installation,13003.01,Replace residential HVAC system,commercial,installation,95131,LOC-1
